date_found,company,title,location,area_group,visa_bucket,fit_score,link,application_status,visa_reason,work_model,date_posted,job_id
2026-09-18,PPC Partners Inc.,Automation Engineering Intern,"New Berlin, WI",Midwest,A - Likely OK,65,https://jobright.ai/jobs/info/6aad83f70ebc8fb2313e9fa1,,Description read; nothing rules out international students,On Site,2026-09-18,6aad83f70ebc8fb2313e9fa1
2026-09-18,State of Missouri,Highway Safety Engineering Intern -SUMMER 2027,"Jefferson City, MO",Midwest,A - Likely OK,65,https://jobright.ai/jobs/info/6aad7f56de327d3e210d2c04,,Description mentions 'h1b',On Site,2026-09-18,6aad7f56de327d3e210d2c04
2026-09-18,Sargent & Lundy,Mechanical Engineering Intern - Nuclear (Summer 2027),"Englewood, CO",West,B - Unclear,61,https://jobright.ai/jobs/info/6aad73032e757fcb5c8b870e,,No job description available - visa status not stated,On Site,2026-09-18,6aad73032e757fcb5c8b870e
2026-09-18,Sargent & Lundy,Mechanical Engineering Intern - Nuclear (Summer 2027),"Minneapolis, MN",Midwest,B - Unclear,61,https://jobright.ai/jobs/info/6aad731e6956574eac8b5bdc,,No job description available - visa status not stated,On Site,2026-09-18,6aad731e6956574eac8b5bdc
2026-09-18,TTM Technologies,Mechanical Engineering Intern (Jan-May 2027),"Syracuse, NY",Northeast,B - Unclear,61,https://jobright.ai/jobs/info/6aad4d8c0ebc8fb2313e8b43,,No job description available - visa status not stated,On Site,2026-09-18,6aad4d8c0ebc8fb2313e8b43
2026-09-18,TTM Technologies,Mechanical Engineering Intern (May-August 2027),"Syracuse, NY",Northeast,B - Unclear,61,https://jobright.ai/jobs/info/6aad4d8b0ebc8fb2313e8b42,,No job description available - visa status not stated,On Site,2026-09-18,6aad4d8b0ebc8fb2313e8b42
2026-09-18,TTM Technologies,Mechanical Engineering Intern - Summer 2027,"Syracuse-D, NY",Northeast,B - Unclear,61,https://jobright.ai/jobs/info/6aad2df5ea4712a195b14556,,No job description available - visa status not stated,On Site,2026-09-18,6aad2df5ea4712a195b14556
2026-09-18,TTM Technologies,Mechanical Engineering Internship,"Farmingdale, NY",Northeast,B - Unclear,61,https://jobright.ai/jobs/info/6aad6d433d96632d741add22,,No job description available - visa status not stated,On Site,2026-09-18,6aad6d433d96632d741add22
2026-09-18,"Cretex Companies, Inc.",Quality Engineer Intern - Summer 2027 - rms Company,"Coon Rapids, MN",Midwest,B - Unclear,47,https://jobright.ai/jobs/info/6a9af9842cdc5958f53ea00d,,No job description available - visa status not stated,On Site,2026-09-18,6a9af9842cdc5958f53ea00d
2026-09-18,Worley,Expression of Interest for Engineering Intern - Marshall University,"Charleston, WV",Southeast,B - Unclear,47,https://jobright.ai/jobs/info/6aad841e6956574eac8b6255,,No job description available - visa status not stated,On Site,2026-09-18,6aad841e6956574eac8b6255
